#ⲱ	V	-
,	PUNCT	-
.	PUNCT	-
:	PUNCT	-
[....]ⲥ	UNKNOWN	-
[...]ϥ̣	UNKNOWN	-
=ⲥⲙⲟⲩ=	N	-
·	PUNCT	-
ϣ	V	-
ϣϣⲉ	V	-
ϣϥ	V	-
ϣϫⲉ	N	-
ϣϫⲏⲩ	N	-
ϣϭⲁ	V	-
ϣϭⲟⲙ	V	-
ϣⲁ	PREP	-
ϣⲁ	V	-
ϣⲁ	A	-
ϣⲁϣ	N	-
ϣⲁϥⲉ	V	-
ϣⲁϥⲧⲉ	N	-
ϣⲁϩ	N	-
ϣⲁϩ	V	-
ϣⲁϩⲛⲕⲱϩⲧ	N	-
ϣⲁϩⲛⲥⲁⲧⲉ	N	-
ϣⲁϩⲣⲁⲓ	ADV	-
ϣⲁϩⲣⲁⲓⲉⲡⲟⲟⲩⲛϩⲟⲟⲩ	ADV	-
ϣⲁϫⲉ	V	-
ϣⲁⲁϥ	N	-
ϣⲁⲁⲛⲧ	N	-
ϣⲁⲁⲣ	N	-
ϣⲁⲁⲧ	V	-
ϣⲁⲁⲧ	V	-
ϣⲁⲃⲟⲗ	ADV	-
ϣⲁⲉϩⲣⲁⲓ	ADV	-
ϣⲁⲉⲛⲉϩ	ADV	-
ϣⲁⲓⲣⲉ	N	-
ϣⲁⲗⲛⲃⲏⲧ	N	-
ϣⲁⲛ	A	-
ϣⲁⲛϩⲏⲧ	N	-
ϣⲁⲛⲁϩⲧⲏϥ	N	-
ϣⲁⲛⲧ	N	-
ϣⲁⲛⲧ	A	-
ϣⲁⲛⲧⲉ	A	-
ϣⲁⲛⲧⲉⲟⲩϣⲱⲡⲉ	ADV	-
ϣⲁⲡⲉⲓⲙⲁ	ADV	-
ϣⲁⲣⲟ	PREP	-
ϣⲁⲣⲱⲧⲛ	PREP	-
ϣⲁⲥⲱⲛⲧ	N	-
ϣⲁⲧ	V	-
ϣⲁⲧⲛ	PREP	-
ϣⲁⲧⲛⲁⲩ	ADV	-
ϣⲁⲩ	N	-
ϣⲃv	V	-
ϣⲃⲃ	V	-
ϣⲃⲃⲓⲱ	N	-
ϣⲃⲉ	N	-
ϣⲃⲉⲉⲣ	N	-
ϣⲃⲏⲣ	N	-
ϣⲃⲏⲣⲕⲗⲏⲣⲟⲛⲟⲙⲟⲥ	N	-
ϣⲃⲣⲙⲉⲗⲟⲥ	N	-
ϣⲃⲣⲣϩⲱⲃ	N	-
