ⲙⲛⲧⲥⲩⲛⲕⲗⲏⲧⲓⲕⲟⲥ	N
ⲙⲛⲧⲙⲟⲛⲁⲭⲟⲥ	N
ⲥⲟⲣⲙⲉⲥ	N??
ⲥⲩⲛⲕⲗⲏⲧⲓⲕⲟⲥ	N
ⲉⲛⲥⲩⲛⲕⲗⲏⲧⲓⲕⲟⲥ	
ⲙⲛⲧⲁⲡⲟⲧⲁⲕⲧⲓⲕⲟⲥ	N
ⲥⲧⲉⲫⲁⲛⲁ
ⲉⲩⲁⲅⲅⲉⲗⲓⲍⲉ	V
ⲁⲑⲉⲧⲉⲓ	V
ⲁⲓⲧⲓ	V
ϭⲱⲗⲡ	N
ⲧⲁϣⲉⲟⲉⲓϣ	N
ⲥⲟϣϥ	V
ϫⲓⲥⲉ	N
ⲥⲧⲱⲧ	N
ⲡⲓⲑⲉ	N
ⲟⲩⲱⲛϩ	N
ϩⲉⲛϯⲥⲃⲱ	N
ⲯⲩⲭⲓⲕⲟⲥ	N
ⲁⲛⲁⲕⲣⲓⲛⲉ	V
ϣϭⲙϭⲟⲙ	N
ϩⲟⲡⲟⲩ	ADV
ⲕⲱϩ	N
ⲁⲣⲭⲓⲧⲉⲕⲧⲱⲛ	N
ⲣⲟⲟⲩⲉ	N
ϯⲟⲥⲉ	V
#ⲛⲧⲉⲓϩⲉ	ADV
ⲕⲟⲧⲥ	N
ⲙⲟⲕⲙⲉⲕ	N
#ⲧⲏⲣϥ	N
ⲟⲡ	V	NOTE: #ⲟⲡ is in lexicon hashtagged out. but ⲟⲡ is form of ⲱⲡ
ⲁⲛⲁⲕⲣⲓⲛⲉ	V
ⲧⲁⲉⲓⲟ	N
ϩⲁⲉ	N
ϭⲟⲟⲃ	VSTAT
ⲟⲩⲛ	N
ⲡⲉⲣⲓⲕⲁⲑⲁⲣⲙⲁ N
ϯϣⲓⲡⲉ	V
ⲡⲁⲓⲇⲁⲅⲱⲅⲟⲥ	N
ⲟⲩⲱϣⲙ	V
ⲡⲟⲣⲛⲟⲥ	N
ϩⲓϩⲟⲩⲛ	ADV

I think we should hashtag out these:
ⲛⲑⲉⲁⲛⲛ	CONJ	-
ⲛⲑⲉⲉⲧ	CONJ	-
ⲛⲑⲉⲉⲧⲉⲣⲉ	CONJ	-
ⲛⲑⲉⲉⲧⲥⲏϩ	ADV	-
ⲛⲑⲉⲙ	PREP	-
ⲛⲑⲉⲛ	PREP	-
ⲛⲑⲉⲧⲥⲏϩ	ADV	-
ⲕⲁⲧⲁⲑⲉ	CONJ	-
ⲕⲁⲧⲁⲑⲉⲉⲧⲥⲏϩ	ADV	-
ⲕⲁⲧⲁⲑⲉⲧⲥⲏϩ	ADV	-
ⲕⲁⲧⲁⲓⲱϩⲁⲛⲛⲏⲥ	NPROP	-
ⲕⲁⲧⲁⲕⲁⲓⲣⲟⲥ	ADV	-
ⲕⲁⲧⲁⲙⲁⲑⲑⲁⲓⲟⲥ	NPROP	-
ⲕⲁⲧⲁⲙⲁⲣⲕⲟⲥ	NPROP	-
ⲕⲁⲧⲁⲙⲁⲧⲑⲁⲓⲟⲥ	NPROP	
ⲕⲁⲧⲁⲛⲧⲁ	V	-
ⲕⲁⲧⲁⲡϣⲓ	ADV	-
ⲕⲁⲧⲁⲡⲉⲉⲧⲥⲏϩ	ADV	-
ⲕⲁⲧⲁⲡⲉⲧⲁⲥⲙⲁ	N	-
ⲕⲁⲧⲁⲡⲉⲧⲥⲏϩ	ADV	-





