ⲉⲅⲕⲗⲏⲥⲧⲱⲥ	ⲉⲅⲕⲗⲏⲥⲧⲱⲥ
ⲉⲡⲓⲃⲟⲩⲗⲟⲥ	ⲉⲡⲓⲃⲟⲩⲗⲟⲥ
ⲙⲛⲧⲕⲁⲕⲟⲩⲣⲅⲟⲥ	ⲙⲛⲧ|ⲕⲁⲕⲟⲩⲣⲅⲟⲥ
ⲧⲣⲓⲁⲇⲓⲕⲟⲛ	ⲧⲣⲓⲁⲇⲓⲕⲟⲛ
ⲫⲑⲟⲛⲏⲣⲟⲥ	ⲫⲑⲟⲛⲏⲣⲟⲥ
ϣⲁⲁⲣ	ϣⲁⲁⲣ
ϣⲁⲙϣⲉⲓⲇⲱⲗⲟⲛ	ϣⲁⲙϣⲉ|ⲓⲇⲱⲗⲟⲛ
ϣⲃⲣⲡⲁⲣⲑⲉⲛⲟⲥ	ϣⲃⲣ|ⲡⲁⲣⲑⲉⲛⲟⲥ
ϣⲏⲣⲡⲥϩⲁⲓ	ϣⲏⲣⲡ|ⲥϩⲁⲓ
ϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ	ϣⲙϣⲉ|ⲉⲓⲇⲱⲗⲟⲛ
ϣⲟⲩⲡⲓⲥⲧⲉⲩⲉ	ϣⲟⲩ|ⲡⲓⲥⲧⲉⲩⲉ
ϣⲡϩⲙⲟⲧ	ϣⲡ|ϩⲙⲟⲧ
ϣⲣⲡⲥⲏⲙⲁⲛⲉ	ϣⲣⲡ|ⲥⲏⲙⲁⲛⲉ
ϣⲣⲡⲧⲁⲥⲥⲉ	ϣⲣⲡ|ⲧⲁⲥⲥⲉ
ϣⲧⲟⲩϫⲉ	ϣ|ⲧⲟⲩϫⲉ
ϥⲁⲓϩⲟⲡⲗⲟⲛ	ϥⲁⲓ|ϩⲟⲡⲗⲟⲛ
ϥⲓⲉⲓⲁⲧ	ϥⲓ|ⲉⲓⲁⲧ
ϥⲓⲣⲟⲟⲩϣ	ϥⲓ|ⲣⲟⲟⲩϣ
ϩⲁⲅⲓⲁⲍⲉ	ϩⲁⲅⲓⲁⲍⲉ
ϩⲁⲅⲓⲁⲥⲙⲟⲥ	ϩⲁⲅⲓⲁⲥⲙⲟⲥ
ϩⲁⲅⲓⲱⲥⲩⲛⲏ	ϩⲁⲅⲓⲱⲥⲩⲛⲏ
ϩⲁⲅⲓⲱⲧⲁⲧⲟⲥ	ϩⲁⲅⲓⲱⲧⲁⲧⲟⲥ
ϩⲁⲅⲛⲟⲛ	ϩⲁⲅⲛⲟⲛ
ϩⲁⲓⲣⲉⲥⲓⲥ	ϩⲁⲓⲣⲉⲥⲓⲥ
ϩⲁⲓⲣⲉⲧⲓⲕⲟⲥ	ϩⲁⲓⲣⲉⲧⲓⲕⲟⲥ
ϩⲁⲗⲓⲉⲩⲥ	ϩⲁⲗⲓⲉⲩⲥ
ϩⲁⲗⲩⲥⲓⲥ	ϩⲁⲗⲩⲥⲓⲥ
ϩⲁⲙⲁ	ϩⲁⲙⲁ
ϩⲁⲙⲏⲛ	ϩⲁⲙⲏⲛ
ϩⲁⲡⲗⲟⲩⲛ	ϩⲁⲡⲗⲟⲩⲛ
ϩⲁⲡⲗⲟⲩⲥ	ϩⲁⲡⲗⲟⲩⲥ
ϩⲁⲡⲗⲱⲥ	ϩⲁⲡⲗⲱⲥ
ϩⲁⲣϣϩⲏⲧ	ϩⲁⲣϣ|ϩⲏⲧ
ϩⲁⲣⲙⲁ	ϩⲁⲣⲙⲁ
ϩⲁⲣⲙⲟⲍⲉ	ϩⲁⲣⲙⲟⲍⲉ
ϩⲁⲣⲙⲟⲛⲓⲁ	ϩⲁⲣⲙⲟⲛⲓⲁ
ϩⲁⲣⲡⲁⲍⲉ	ϩⲁⲣⲡⲁⲍⲉ
ϩⲉⲃⲇⲟⲙⲁⲥ	ϩⲉⲃⲇⲟⲙⲁⲥ
ϩⲉⲃⲣⲁⲓⲁ	ϩⲉⲃⲣⲁⲓⲁ
ϩⲉⲃⲣⲁⲓⲟⲥ	ϩⲉⲃⲣⲁⲓⲟⲥ
ϩⲉⲑⲛⲓⲕⲟⲥ	ϩⲉⲑⲛⲓⲕⲟⲥ
ϩⲉⲑⲛⲟⲥ	ϩⲉⲑⲛⲟⲥ
ϩⲉⲓⲙⲁⲣⲙⲉⲛⲏ	ϩⲉⲓⲙⲁⲣⲙⲉⲛⲏ
ϩⲉⲕⲁⲧⲟⲛⲧⲁⲣⲭⲟⲥ	ϩⲉⲕⲁⲧⲟⲛⲧⲁⲣⲭⲟⲥ
ϩⲉⲗⲗⲏⲛⲟⲥ	ϩⲉⲗⲗⲏⲛⲟⲥ
ϩⲉⲗⲗⲏⲛ	ϩⲉⲗⲗⲏⲛ
ϩⲉⲗⲟⲥ	ϩⲉⲗⲟⲥ
ϩⲉⲗⲡⲓⲍⲉ	ϩⲉⲗⲡⲓⲍⲉ
ϩⲉⲗⲡⲓⲥ	ϩⲉⲗⲡⲓⲥ
ϩⲉⲙⲏⲣⲁ	ϩⲉⲙⲏⲣⲁ
ϩⲉⲛⲛⲁⲥ	ϩⲉⲛⲛⲁⲥ
ϩⲉⲝⲓⲥ	ϩⲉⲝⲓⲥ
ϩⲉⲣⲙⲉⲛⲉⲩⲧⲏⲥ	ϩⲉⲣⲙⲉⲛⲉⲩⲧⲏⲥ
ϩⲉⲣⲙⲏⲛⲉⲓⲁ	ϩⲉⲣⲙⲏⲛⲉⲓⲁ
ϩⲉⲣⲙⲏⲛⲉⲩⲉ	ϩⲉⲣⲙⲏⲛⲉⲩⲉ
ϩⲉⲣⲙⲏⲥ	ϩⲉⲣⲙⲏⲥ
ϩⲉⲧⲁⲍⲉ	ϩⲉⲧⲁⲍⲉ
ϩⲉⲧⲁⲓⲣⲁ	ϩⲉⲧⲁⲓⲣⲁ
ϩⲉⲧⲟⲓⲙⲟⲥ	ϩⲉⲧⲟⲓⲙⲟⲥ
ϩⲉⲩⲣⲉⲙⲁ	ϩⲉⲩⲣⲉⲙⲁ
ϩⲉⲱⲥ	ϩⲉⲱⲥ
ϩⲏⲅⲉⲙⲟⲛⲓⲁ	ϩⲏⲅⲉⲙⲟⲛⲓⲁ
ϩⲏⲅⲉⲙⲱⲛⲓⲕⲟⲛ	ϩⲏⲅⲉⲙⲱⲛⲓⲕⲟⲛ
ϩⲏⲅⲉⲙⲱⲛ	ϩⲏⲅⲉⲙⲱⲛ
ϩⲏⲅⲟⲩⲙⲉⲛⲟⲥ	ϩⲏⲅⲟⲩⲙⲉⲛⲟⲥ
ϩⲏⲇⲁⲛⲏ	ϩⲏⲇⲁⲛⲏ
ϩⲏⲇⲟⲛⲏ	ϩⲏⲇⲟⲛⲏ
ϩⲏⲗⲓϭⲓⲁ	ϩⲏⲗⲓϭⲓⲁ
ϩⲏⲗⲓⲕⲓⲁ	ϩⲏⲗⲓⲕⲓⲁ
ϩⲏⲗⲓⲟⲥ	ϩⲏⲗⲓⲟⲥ
ϩⲏⲡⲁⲣ	ϩⲏⲡⲁⲣ
ϩⲏⲣⲱⲇⲓⲁⲛⲟⲥ	ϩⲏⲣⲱⲇⲓⲁⲛⲟⲥ
ϩⲓⲁⲣⲭⲏ	ϩⲓ|ⲁⲣⲭⲏ
ϩⲓⲁⲧⲣⲟⲥ	ϩⲓⲁⲧⲣⲟⲥ
ϩⲓⲇⲓⲱⲧⲏⲥ	ϩⲓⲇⲓⲱⲧⲏⲥ
ϩⲓⲉⲣⲁ	ϩⲓⲉⲣⲁ
ϩⲓⲉⲣⲟⲛ	ϩⲓⲉⲣⲟⲛ
ϩⲓⲕⲁⲛⲟⲥ	ϩⲓⲕⲁⲛⲟⲥ
ϩⲓⲕⲱⲛ	ϩⲓⲕⲱⲛ
ϩⲓⲗⲓⲕⲣⲓⲛⲏⲥ	ϩⲓⲗⲓⲕⲣⲓⲛⲏⲥ
ϩⲓⲙⲁⲣⲙⲉⲛⲏ	ϩⲓⲙⲁⲣⲙⲉⲛⲏ
ϩⲓⲙⲉⲣⲟⲥ	ϩⲓⲙⲉⲣⲟⲥ
ϩⲓⲛⲁ	ϩⲓⲛⲁ
ϩⲓⲡⲡⲉⲩⲥ	ϩⲓⲡⲡⲉⲩⲥ
ϩⲓⲡⲡⲓⲕⲟⲥ	ϩⲓⲡⲡⲓⲕⲟⲥ
ϩⲓⲥⲁⲅⲅⲉⲗⲟⲥ	ϩⲓⲥⲁⲅⲅⲉⲗⲟⲥ
ϩⲓⲥⲓⲟⲛ	ϩⲓⲥⲓⲟⲛ
ϩⲓⲥⲟⲛ	ϩⲓⲥⲟⲛ
ϩⲓⲥⲟⲥ	ϩⲓⲥⲟⲥ
ϩⲓⲥⲧⲟⲣⲓⲍⲉ	ϩⲓⲥⲧⲟⲣⲓⲍⲉ
ϩⲓⲧⲁⲗⲓⲕⲏ	ϩⲓⲧⲁⲗⲓⲕⲏ
ϩⲛⲧⲟⲩ	ϩⲛⲧⲟⲩ
ϩⲟⲃⲟⲗⲟⲥ	ϩⲟⲃⲟⲗⲟⲥ
ϩⲟⲇⲟⲥ	ϩⲟⲇⲟⲥ
ϩⲟⲓⲟⲛ	ϩⲟⲓⲟⲛ
ϩⲟⲗⲓⲅⲟⲛ	ϩⲟⲗⲓⲅⲟⲛ
ϩⲟⲗⲟⲕⲁⲩⲧⲱⲙⲁ	ϩⲟⲗⲟⲕⲁⲩⲧⲱⲙⲁ
ϩⲟⲗⲟⲕⲟⲧⲧⲓⲛⲟⲥ	ϩⲟⲗⲟⲕⲟⲧⲧⲓⲛⲟⲥ
ϩⲟⲗⲟⲛ	ϩⲟⲗⲟⲛ
ϩⲟⲗⲟⲥⲏⲣⲓⲕⲕⲟⲛ	ϩⲟⲗⲟⲥⲏⲣⲓⲕⲕⲟⲛ
ϩⲟⲗⲱⲥ	ϩⲟⲗⲱⲥ
ϩⲟⲙⲏⲣⲟⲥ	ϩⲟⲙⲏⲣⲟⲥ
ϩⲟⲙⲓⲗⲓⲁ	ϩⲟⲙⲓⲗⲓⲁ
ϩⲟⲙⲟⲗⲟⲅⲉⲓ	ϩⲟⲙⲟⲗⲟⲅⲉⲓ
ϩⲟⲙⲟⲗⲟⲅⲏⲧⲏⲥ	ϩⲟⲙⲟⲗⲟⲅⲏⲧⲏⲥ
ϩⲟⲙⲟⲗⲟⲅⲓⲁ	ϩⲟⲙⲟⲗⲟⲅⲓⲁ
ϩⲟⲙⲟⲛⲟⲓⲁ	ϩⲟⲙⲟⲛⲟⲓⲁ
ϩⲟⲙⲟⲛⲟⲓ	ϩⲟⲙⲟⲛⲟⲓ
ϩⲟⲙⲟⲟⲩⲥⲓⲟⲛ	ϩⲟⲙⲟⲟⲩⲥⲓⲟⲛ
ϩⲟⲙⲟⲟⲩⲥⲓⲟⲥ	ϩⲟⲙⲟⲟⲩⲥⲓⲟⲥ
ϩⲟⲙⲱⲥ	ϩⲟⲙⲱⲥ
ϩⲟⲡⲗⲟⲛ	ϩⲟⲡⲗⲟⲛ
ϩⲟⲡⲟⲧⲉ	ϩⲟⲡⲟⲧⲉ
ϩⲟⲡⲟⲩ	ϩⲟⲡⲟⲩ
ϩⲟⲡⲱⲥ	ϩⲟⲡⲱⲥ
ϩⲟⲣⲁⲥⲓⲥ	ϩⲟⲣⲁⲥⲓⲥ
ϩⲟⲣⲓⲍⲉ	ϩⲟⲣⲓⲍⲉ
ϩⲟⲣⲙⲏ	ϩⲟⲣⲙⲏ
ϩⲟⲣⲙⲓⲥⲕⲟⲥ	ϩⲟⲣⲙⲓⲥⲕⲟⲥ
ϩⲟⲣⲟⲙⲁ	ϩⲟⲣⲟⲙⲁ
ϩⲟⲣⲟⲥ	ϩⲟⲣⲟⲥ
ϩⲟⲥⲓⲱⲧⲁⲧⲟⲥ	ϩⲟⲥⲓⲱⲧⲁⲧⲟⲥ
ϩⲟⲥⲟⲛ	ϩⲟⲥⲟⲛ
ϩⲟⲧⲁⲛ	ϩⲟⲧⲁⲛ
ϩⲟⲧⲉ	ϩⲟⲧⲉ
ϩⲟⲧⲓ	ϩⲟⲧⲓ
ϩⲣⲁⲓ	ϩⲣⲁⲓ
ϩⲣⲁⲙⲛⲟⲥ	ϩⲣⲁⲙⲛⲟⲥ
ϩⲣⲁⲭⲁ	ϩⲣⲁⲭⲁ
ϩⲣⲉⲡⲓⲍⲉ	ϩⲣⲉⲡⲓⲍⲉ
ϩⲣⲏⲧⲟⲛ	ϩⲣⲏⲧⲟⲛ
ϩⲣⲏⲧⲱⲣ	ϩⲣⲏⲧⲱⲣ
ϩⲣⲱⲙⲁⲓⲕⲟⲛ	ϩⲣⲱⲙⲁⲓⲕⲟⲛ
ϩⲣⲱⲙⲁⲓⲟⲥ	ϩⲣⲱⲙⲁⲓⲟⲥ
ϩⲩⲁⲕⲓⲛⲑⲓⲛⲟⲛ	ϩⲩⲁⲕⲓⲛⲑⲓⲛⲟⲛ
ϩⲩⲁⲕⲓⲛⲑⲟⲥ	ϩⲩⲁⲕⲓⲛⲑⲟⲥ
ϩⲩⲃⲣⲓⲍⲉ	ϩⲩⲃⲣⲓⲍⲉ
ϩⲩⲇⲁⲛⲉ	ϩⲩⲇⲁⲛⲉ
ϩⲩⲇⲣⲓⲁ	ϩⲩⲇⲣⲓⲁ
ϩⲩⲇⲣⲟⲡⲓⲕⲟⲥ	ϩⲩⲇⲣⲟⲡⲓⲕⲟⲥ
ϩⲩⲗⲏ	ϩⲩⲗⲏ
ϩⲩⲗⲓⲕⲏ	ϩⲩⲗⲓⲕⲏ
ϩⲩⲗⲓⲕⲟⲛ	ϩⲩⲗⲓⲕⲟⲛ
ϩⲩⲗⲓⲕⲟⲥ	ϩⲩⲗⲓⲕⲟⲥ
ϩⲩⲙⲏⲛ	ϩⲩⲙⲏⲛ
ϩⲩⲙⲛⲉⲩⲉ	ϩⲩⲙⲛⲉⲩⲉ
ϩⲩⲙⲛⲓ	ϩⲩⲙⲛⲓ
ϩⲩⲙⲛⲟⲗⲟⲅⲉⲓ	ϩⲩⲙⲛⲟⲗⲟⲅⲉⲓ
ϩⲩⲙⲛⲟⲗⲟⲅⲓⲁ	ϩⲩⲙⲛⲟⲗⲟⲅⲓⲁ
ϩⲩⲙⲛⲟⲥ	ϩⲩⲙⲛⲟⲥ
ϩⲩⲙⲛⲱⲧⲟⲥ	ϩⲩⲙⲛⲱⲧⲟⲥ
ϩⲩⲡⲁⲣⲏⲥ	ϩⲩⲡⲁⲣⲏⲥ
ϩⲩⲡⲁⲣⲝⲓⲥ	ϩⲩⲡⲁⲣⲝⲓⲥ
ϩⲩⲡⲁⲣⲭⲟⲛⲧⲁ	ϩⲩⲡⲁⲣⲭⲟⲛⲧⲁ
ϩⲩⲡⲏⲣⲉⲥⲓⲁ	ϩⲩⲡⲏⲣⲉⲥⲓⲁ
ϩⲩⲡⲏⲣⲉⲧⲉⲓ	ϩⲩⲡⲏⲣⲉⲧⲉⲓ
ϩⲩⲡⲏⲣⲉⲧⲏⲥ	ϩⲩⲡⲏⲣⲉⲧⲏⲥ
ϩⲩⲡⲟⲅⲣⲁⲫⲉⲩⲥ	ϩⲩⲡⲟⲅⲣⲁⲫⲉⲩⲥ
ϩⲩⲡⲟⲅⲣⲁⲫⲉ	ϩⲩⲡⲟⲅⲣⲁⲫⲉ
ϩⲩⲡⲟⲅⲣⲁⲫⲏ	ϩⲩⲡⲟⲅⲣⲁⲫⲏ
ϩⲩⲡⲟⲇⲓⲁⲕⲟⲛⲟⲥ	ϩⲩⲡⲟⲇⲓⲁⲕⲟⲛⲟⲥ
ϩⲩⲡⲟⲇⲓⲁⲕⲱⲛ	ϩⲩⲡⲟⲇⲓⲁⲕⲱⲛ
ϩⲩⲡⲟⲕⲉⲓⲥⲑⲁⲓ	ϩⲩⲡⲟⲕⲉⲓⲥⲑⲁⲓ
ϩⲩⲡⲟⲕⲟⲣⲉⲩⲉ	ϩⲩⲡⲟⲕⲟⲣⲉⲩⲉ
ϩⲩⲡⲟⲕⲣⲓⲛⲉ	ϩⲩⲡⲟⲕⲣⲓⲛⲉ
ϩⲩⲡⲟⲕⲣⲓⲥⲓⲥ	ϩⲩⲡⲟⲕⲣⲓⲥⲓⲥ
ϩⲩⲡⲟⲕⲣⲓⲧⲏⲥ	ϩⲩⲡⲟⲕⲣⲓⲧⲏⲥ
