ⲉⲛⲉϥⲙⲁⲁϫⲉ	ⲉ|ⲛⲉϥ|ⲙⲁⲁϫⲉ
ⲛⲥⲉⲙⲟⲩⲟⲩⲧϥ	ⲛ|ⲥⲉ|ⲙⲟⲩⲟⲩⲧ|ϥ
ⲉⲣⲟⲟⲩ	ⲉⲣⲟ|ⲟⲩ
ϩⲙⲡⲧⲟⲕ	ϩⲙ|ⲡ|ⲧⲟⲕ
ⲉϯⲛⲧⲟⲗⲏ	ⲉ|ϯⲛⲧⲟⲗⲏ
ⲉⲧⲣⲉϥϥⲱⲧⲉ	ⲉ|ⲧⲣⲉ|ϥ|ϥⲱⲧⲉ
ⲛⲥⲉϣⲱϥ	ⲛ|ⲥⲉ|ϣⲱϥ
ⲙⲡⲉϥⲟⲉⲓⲕ	ⲙ|ⲡⲉϥ|ⲟⲉⲓⲕ
ⲧⲱⲛ	ⲧⲱⲛ
ⲧⲱⲙ	ⲧⲱⲙ
ϩⲙⲡⲧⲣⲉⲧⲛⲕⲁⲙⲁ	ϩⲙ|ⲡ|ⲧⲣⲉ|ⲧⲛ|ⲕⲁ|ⲙⲁ
ⲡⲉϫⲉⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ	ⲡⲉϫⲉ|ⲛⲉϥ|ⲙⲁⲑⲏⲧⲏⲥ
ⲛϥⲥⲱ	ⲛ|ϥ|ⲥⲱ
ⲉⲧⲉⲓ	ⲉ|ⲧⲉⲓ
ⲁⲧⲉⲧⲛⲥⲟⲧⲡⲧ	ⲁ|ⲧⲉⲧⲛ|ⲥⲟⲧⲡ|ⲧ
ⲧⲱⲧ	ⲧⲱⲧ
ⲙⲛⲡⲉϥⲥⲟⲛ	ⲙⲛ|ⲡⲉϥ|ⲥⲟⲛ
ⲉⲧⲡⲓⲥⲧⲉⲩⲉ	ⲉⲧ|ⲡⲓⲥⲧⲉⲩⲉ
ⲉⲧⲉⲙⲛⲙⲉ	ⲉⲧⲉ|ⲙⲛ|ⲙⲉ
ⲛⲉϥϭⲏⲡ	ⲛⲉ|ϥ|ϭⲏⲡ
ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ	ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ
ⲙⲡⲟⲩⲣⲛⲟⲃⲉ	ⲙⲡ|ⲟⲩ|ⲣⲛⲟⲃⲉ
ϫⲉⲁⲧⲥⲱⲛⲉ	ϫⲉ|ⲁ|ⲧ|ⲥⲱⲛⲉ
ⲙⲛⲡⲉϥⲥⲛⲟϥ	ⲙⲛ|ⲡⲉϥ|ⲥⲛⲟϥ
ϫⲉⲛⲁⲓ	ϫⲉ|ⲛⲁⲓ
ⲉⲧⲃⲏⲧⲟⲩ	ⲉⲧⲃⲏⲧ|ⲟⲩ
ⲉⲙⲡⲟⲗⲓⲥ	ⲉ|ⲙ|ⲡⲟⲗⲓⲥ
ⲙⲡⲟⲩⲁ	ⲙ|ⲡ|ⲟⲩⲁ
ⲉⲧⲣⲉⲛⲉⲛϩⲏⲧ	ⲉ|ⲧⲣⲉ|ⲛⲉⲛ|ϩⲏⲧ
ⲛϩⲉⲛⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲛ	ⲛ|ϩⲉⲛ|ⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲛ
ϩⲛⲛⲣⲓ	ϩⲛ|ⲛ|ⲣⲓ
ⲙⲡⲁⲙⲉⲉⲩⲉ	ⲙ|ⲡⲁ|ⲙⲉⲉⲩⲉ
ⲡⲁⲙⲉⲣⲓⲧ	ⲡⲁ|ⲙⲉⲣⲓⲧ
ⲙⲡⲧⲏⲣϥ	ⲙ|ⲡ|ⲧⲏⲣ|ϥ
ⲛⲉⲧⲛⲁⲕⲣⲓⲛⲉ	ⲛ|ⲉⲧ|ⲛⲁ|ⲕⲣⲓⲛⲉ
ϩⲉⲛⲙⲁⲥⲉ	ϩⲉⲛ|ⲙⲁⲥⲉ
ⲡⲣⲱⲙⲉⲛⲁϣⲓⲛⲉ	ⲡ|ⲣⲱⲙⲉ|ⲛⲁ|ϣⲓⲛⲉ
ⲛⲍⲉⲃⲉⲇⲁⲓⲟⲥ	ⲛ|ⲍⲉⲃⲉⲇⲁⲓⲟⲥ
ⲣⲟⲟⲩϣ	ⲣⲟⲟⲩϣ
ⲟⲩⲛⲕⲉϩⲱⲃ	ⲟⲩⲛ|ⲕⲉ|ϩⲱⲃ
ⲟⲛ	ⲟⲛ
ⲧⲟⲟⲧⲟⲩ	ⲧⲟⲟⲧ|ⲟⲩ
ⲉⲛⲧⲁⲩϣⲱⲡⲉ	ⲉⲛⲧ|ⲁ|ⲩ|ϣⲱⲡⲉ
ⲧⲉϥⲥϩⲓⲙⲉ	ⲧⲉϥ|ⲥϩⲓⲙⲉ
ⲉⲡⲉϥⲥⲱⲙⲁ	ⲉ|ⲡⲉϥ|ⲥⲱⲙⲁ
ⲉϫⲓϣⲕⲁⲕ	ⲉ|ϫⲓϣⲕⲁⲕ
ⲓⲁⲕⲱⲃ	ⲓⲁⲕⲱⲃ
ⲑⲉⲟⲇⲟⲣⲟⲥ	ⲑⲉⲟⲇⲟⲣⲟⲥ
ⲡⲣⲟⲥⲟⲩⲟⲉⲓϣ	ⲡⲣⲟⲥ|ⲟⲩⲟⲉⲓϣ
ϩⲁⲣⲁⲧⲛ	ϩⲁⲣⲁⲧ|ⲛ
ⲛⲛⲁϩⲙϩⲁⲗ	ⲛ|ⲛ|ⲁ|ϩⲙϩⲁⲗ
ϩⲛⲧⲉⲯⲩⲭⲏ	ϩⲛ|ⲧⲉ|ⲯⲩⲭⲏ
ⲛϩⲉⲛϭⲱⲃⲉ	ⲛ|ϩⲉⲛ|ϭⲱⲃⲉ
ⲛⲅⲛⲁⲩ	ⲛ|ⲅ|ⲛⲁⲩ
