norm_group	norm	count
.	.	615
ⲁⲩⲱ	ⲁⲩⲱ	432
·	·	392
ⲇⲉ	ⲇⲉ	252
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	164
ⲁⲩⲱ	ⲁⲩⲱ	133
·	·	110
ⲁⲛ	ⲁⲛ	81
ⲡⲉ	ⲡⲉ	75
ⲅⲁⲣ	ⲅⲁⲣ	74
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	71
·	·	71
,	,	70
·	·	63
ⲛ	ⲛ	62
.	.	54
ϥ	ϥ	51
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ	45
ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	44
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ	43
ⲡ	ⲡ	43
.	.	41
ⲉ	ⲉ	41
ⲛⲓⲙ	ⲛⲓⲙ	38
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ	38
ⲟⲛ	ⲟⲛ	37
ⲡⲉ	ⲡⲉ	35
ⲁⲩⲱ	ⲁⲩⲱ	32
ⲛⲧⲟϥ	ⲛⲧⲟϥ	31
·	·	31
.	.	29
ϫⲉⲕⲁⲁⲥ	ϫⲉⲕⲁⲁⲥ	29
ⲇⲉ	ⲇⲉ	26
ⲛⲓⲙ	ⲛⲓⲙ	25
ⲏ	ⲏ	24
ⲟⲛ	ⲟⲛ	24
ⲁⲩⲱ	ⲁⲩⲱ	24
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	23
ϣⲱⲡⲉ	ϣⲱⲡⲉ	23
ⲉⲓⲧⲉ	ⲉⲓⲧⲉ	22
,	,	22
.	.	22
ⲁⲛ	ⲁⲛ	22
ⲇⲉ	ⲇⲉ	22
ⲏ	ⲏ	21
ⲟⲛ	ⲟⲛ	21
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	20
ϫⲉ	ϫⲉ	20
ⲁⲩⲱ	ⲁⲩⲱ	20
ⲛⲉ	ⲛⲉ	19
ⲁⲛⲟⲕ	ⲁⲛⲟⲕ	18
ⲏ	ⲏ	18
ⲡⲁⲓ	ⲡⲁⲓ	18
ϩⲱⲥⲧⲉ	ϩⲱⲥⲧⲉ	17
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ	17
ⲏ	ⲏ	17
ⲧⲉ	ⲧⲉ	17
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ	16
ϣⲁϩⲣⲁⲓ	ϣⲁϩⲣⲁⲓ	16
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ	16
ϩⲣⲁⲓ	ϩⲣⲁⲓ	16
ϭⲉ	ϭⲉ	15
ⲟⲩ	ⲟⲩ	15
ⲛⲓⲙ	ⲛⲓⲙ	15
ⲉⲧⲃⲉ	ⲉⲧⲃⲉ	14
ⲙⲙⲁⲩ	ⲙⲙⲁⲩ	14
,	,	14
ⲏ	ⲏ	14
ⲇⲉ	ⲇⲉ	14
ⲡⲉ	ⲡⲉ	14
ⲉϣϫⲉ	ⲉϣϫⲉ	13
:	:	13
ⲙ	ⲙ	13
ⲉⲙⲁⲧⲉ	ⲉⲙⲁⲧⲉ	13
ⲛⲧⲟⲟⲩ	ⲛⲧⲟⲟⲩ	13
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	12
ⲉⲧⲃⲉ	ⲉⲧⲃⲉ	12
ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	12
ⲉⲧ	ⲉⲧ	12
ⲧⲉ	ⲧⲉ	12
ⲛⲁⲓ	ⲛⲁⲓ	12
ⲟⲩⲁ	ⲟⲩⲁ	12
ⲡⲁⲓ	ⲡⲁⲓ	12
ⲛⲟⲩⲧⲉ	ⲛⲟⲩⲧⲉ	12
ⲛⲧⲱⲧⲛ	ⲛⲧⲱⲧⲛ	12
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	11
ⲛⲧⲟϥ	ⲛⲧⲟϥ	11
ⲣⲱⲙⲉ	ⲣⲱⲙⲉ	11
ⲧ	ⲧ	11
ϫⲉ	ϫⲉ	11
ⲙⲛ	ⲙⲛ	11
ⲟⲩ	ⲟⲩ	11
ⲙⲉⲛ	ⲙⲉⲛ	11
ⲛⲁⲓ	ⲛⲁⲓ	11
ⲛⲓⲙ	ⲛⲓⲙ	11
ⲧⲁⲓ	ⲧⲁⲓ	11
ⲥⲛⲁⲩ	ⲥⲛⲁⲩ	10
ⲁⲛ	ⲁⲛ	10
ⲛⲉ	ⲛⲉ	10
ϩⲱⲥ	ϩⲱⲥ	10
ⲧⲁⲓ	ⲧⲁⲓ	10
ϣⲱⲡⲉ	ϣⲱⲡⲉ	10
ⲡⲉ	ⲡⲉ	9
ϣⲏⲙ	ϣⲏⲙ	9
ⲧⲣⲉ	ⲧⲣⲉ	9
ⲉⲓⲧⲉ	ⲉⲓⲧⲉ	8
ⲁ	ⲁ	8
ⲻ	ⲻ	8
ϩⲛ	ϩⲛ	8
ϭⲉ	ϭⲉ	8
ⲇⲉ	ⲇⲉ	8
ⲧⲉ	ⲧⲉ	8
ⲛϭⲓ	ⲛϭⲓ	8
ⲉⲣⲟ	ⲉⲣⲟ	8
ϫⲉⲕⲁⲥ	ϫⲉⲕⲁⲥ	7
ⲁⲛⲟⲛ	ⲁⲛⲟⲛ	7
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ	7
ⲛⲁ	ⲛⲁ	7
ⲛⲉ	ⲛⲉ	7
ⲟⲛ	ⲟⲛ	7
ⲉⲓⲙⲏⲧⲓ	ⲉⲓⲙⲏⲧⲓ	7
ⲡⲉϥ	ⲡⲉϥ	7
ϩⲣⲁⲓ	ϩⲣⲁⲓ	7
ⲗⲁⲁⲩ	ⲗⲁⲁⲩ	6
ⲙⲙⲁⲩ	ⲙⲙⲁⲩ	6
ⲧⲟⲧⲉ	ⲧⲟⲧⲉ	6
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ	6
ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	6
[ ]	[ ]	6
ⲇⲉ	ⲇⲉ	6
ⲙⲏ	ⲙⲏ	6
ⲟⲛ	ⲟⲛ	6
ⲃⲱⲕ	ⲃⲱⲕ	6
ⲙⲙⲟ	ⲙⲙⲟ	6
ⲥⲟⲛ	ⲥⲟⲛ	6
ϣⲱⲡⲉ	ϣⲱⲡⲉ	6
ϩⲏⲏⲧⲉ	ϩⲏⲏⲧⲉ	5
ⲙⲁⲁⲩ	ⲙⲁⲁⲩ	5
ⲛⲧⲟⲕ	ⲛⲧⲟⲕ	5
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ	5
:	:	5
ⲕ	ⲕ	5
ϩⲙ	ϩⲙ	5
ⲁⲛ	ⲁⲛ	5
ⲛⲉ	ⲛⲉ	5
ⲟⲩ	ⲟⲩ	5
ⲡⲉ	ⲡⲉ	5
ⲡⲓⲗⲁⲧⲟⲥ	ⲡⲓⲗⲁⲧⲟⲥ	5
ⲅⲁⲣ	ⲅⲁⲣ	5
ⲉⲣⲟ	ⲉⲣⲟ	5
ⲏⲇⲏ	ⲏⲇⲏ	5
ⲡⲉⲛ	ⲡⲉⲛ	5
ⲙⲁⲣⲓⲁ	ⲙⲁⲣⲓⲁ	5
